,count,mean,std,min,50%,max
Close,1507.0,4582.585546907401,1026.67318985246,2237.39990234375,4380.259765625,6932.0498046875
High,1507.0,4608.1682595478915,1026.6063065913374,2300.72998046875,4410.31005859375,6945.77001953125
Low,1507.0,4553.41030918215,1026.148996362012,2191.860107421875,4356.2900390625,6921.60009765625
Open,1507.0,4581.720286287688,1026.6048842645594,2290.7099609375,4380.93994140625,6936.02001953125
Volume,1507.0,4501056337.093563,1073907005.81356,0.0,4275630000.0,9976520000.0
